glass_type,method,k,iteration,ari,selected_features,feature_jaccard,failed,failure_reason
高钾,Ward,4,63,0.7754749568221071,SiO2+Al2O3+P2O5,0.6,0,
高钾,Ward,5,63,1.0,SiO2+Al2O3+P2O5,0.6,0,
高钾,Ward,2,64,1.0,CaO+SiO2+P2O5+K2O,0.5,0,
高钾,Ward,3,64,1.0,CaO+SiO2+P2O5+K2O,0.5,0,
高钾,Ward,4,64,0.5972027972027972,CaO+SiO2+P2O5+K2O,0.5,0,
高钾,Ward,5,64,0.563392107472712,CaO+SiO2+P2O5+K2O,0.5,0,
高钾,Ward,2,65,0.6926229508196722,SiO2+P2O5+CuO+Al2O3+MgO,0.6666666666666666,0,
高钾,Ward,3,65,0.38876651982378857,SiO2+P2O5+CuO+Al2O3+MgO,0.6666666666666666,0,
高钾,Ward,4,65,0.21946518911105758,SiO2+P2O5+CuO+Al2O3+MgO,0.6666666666666666,0,
高钾,Ward,5,65,0.2551921699689663,SiO2+P2O5+CuO+Al2O3+MgO,0.6666666666666666,0,
高钾,Ward,2,66,0.0924092409240924,Fe2O3+MgO+CuO+P2O5+K2O,0.42857142857142855,0,
高钾,Ward,3,66,0.32489451476793246,Fe2O3+MgO+CuO+P2O5+K2O,0.42857142857142855,0,
高钾,Ward,4,66,0.4068582020389249,Fe2O3+MgO+CuO+P2O5+K2O,0.42857142857142855,0,
高钾,Ward,5,66,0.5381526104417671,Fe2O3+MgO+CuO+P2O5+K2O,0.42857142857142855,0,
高钾,Ward,2,67,0.5333333333333333,Al2O3+SiO2+P2O5,0.6,0,
高钾,Ward,3,67,0.6166666666666667,Al2O3+SiO2+P2O5,0.6,0,
高钾,Ward,4,67,0.35,Al2O3+SiO2+P2O5,0.6,0,
高钾,Ward,5,67,0.25,Al2O3+SiO2+P2O5,0.6,0,
高钾,Ward,2,68,1.0,K2O+SiO2+CuO+P2O5,0.8,0,
高钾,Ward,3,68,0.8160535117056856,K2O+SiO2+CuO+P2O5,0.8,0,
高钾,Ward,4,68,0.9333888426311407,K2O+SiO2+CuO+P2O5,0.8,0,
高钾,Ward,5,68,0.48586118251928023,K2O+SiO2+CuO+P2O5,0.8,0,
高钾,Ward,2,69,1.0,SiO2+K2O+P2O5+CuO,0.8,0,
高钾,Ward,3,69,1.0,SiO2+K2O+P2O5+CuO,0.8,0,
高钾,Ward,4,69,1.0,SiO2+K2O+P2O5+CuO,0.8,0,
高钾,Ward,5,69,0.5180722891566265,SiO2+K2O+P2O5+CuO,0.8,0,
高钾,Ward,2,70,0.0,CaO+Fe2O3+Al2O3+P2O5,0.2857142857142857,0,
高钾,Ward,3,70,0.010416666666666666,CaO+Fe2O3+Al2O3+P2O5,0.2857142857142857,0,
高钾,Ward,4,70,0.14666666666666667,CaO+Fe2O3+Al2O3+P2O5,0.2857142857142857,0,
高钾,Ward,5,70,0.13157894736842105,CaO+Fe2O3+Al2O3+P2O5,0.2857142857142857,0,
高钾,Ward,2,71,1.0,K2O+Al2O3+SiO2,0.6,0,
高钾,Ward,3,71,0.5167785234899329,K2O+Al2O3+SiO2,0.6,0,
高钾,Ward,4,71,0.3619017829214889,K2O+Al2O3+SiO2,0.6,0,
高钾,Ward,5,71,0.46884576098059244,K2O+Al2O3+SiO2,0.6,0,
高钾,Ward,2,72,-0.030042918454935622,Fe2O3+CuO+P2O5,0.3333333333333333,0,
高钾,Ward,3,72,0.14081145584725538,Fe2O3+CuO+P2O5,0.3333333333333333,0,
高钾,Ward,4,72,0.24029262802476084,Fe2O3+CuO+P2O5,0.3333333333333333,0,
高钾,Ward,5,72,0.29714285714285715,Fe2O3+CuO+P2O5,0.3333333333333333,0,
高钾,Ward,2,73,0.21375921375921375,K2O+Al2O3+Fe2O3+P2O5,0.5,0,
