repeat_id/final,feature_or_balance,numerator_components,denominator_components,coefficient,odds_ratio_per_sd,selected
r11_f2,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-6.597120372062379,0.0013642910370328454,1
r11_f3,钾_相对_铅钡,K2O,PbO+BaO,-0.9978293867858422,0.36867883241840294,1
r11_f3,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,0.6283887634670768,1.8745877404125866,1
r11_f4,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,3.0859380309143765,21.88798882561494,1
r11_f4,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,1.588238305415824,4.895117625489481,1
r12_f0,钾_相对_铅钡,K2O,PbO+BaO,-6.466964987812214,0.0015539347943228719,1
r12_f0,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-7.826034492071275,0.0003992053978016044,1
r12_f0,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-5.865776750205227,0.002834820242877163,1
r12_f1,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,1.4565205628701199,4.2910032476906315,1
r12_f1,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,0.5909305144539909,1.8056678339336496,1
r12_f2,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,2.625829012055935,13.81602308947817,1
r12_f2,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,1.0135596717210733,2.7553918690820547,1
r12_f3,钾_相对_铅钡,K2O,PbO+BaO,-1.7576436894246656,0.17245073294417104,1
r12_f4,钾_相对_铅钡,K2O,PbO+BaO,-5.537566024254051,0.003936095549677634,1
r12_f4,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-7.039418287774391,0.0008766363640552809,1
r12_f4,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-5.7417724135961015,0.003209075422842273,1
r13_f0,钾_相对_铅钡,K2O,PbO+BaO,-8.022158935914739,0.00032811088722189085,1
r13_f0,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-10.22487546557611,3.6257095221205245e-05,1
r13_f0,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-8.546513474608624,0.00019422107718390066,1
r13_f1,钾_相对_铅钡,K2O,PbO+BaO,-8.533696147999335,0.00019672649423904703,1
r13_f1,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-11.466883803841116,1.0471180341678526e-05,1
r13_f1,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-8.745090465931598,0.00015924120925731654,1
r13_f2,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,2.442030284553392,11.496357942460955,1
r13_f2,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,1.2171991504906803,3.3777140039584452,1
r13_f3,钾_相对_铅钡,K2O,PbO+BaO,-0.6011510918000419,0.5481802669715752,1
r13_f3,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-0.2509403328436257,0.7780687953264371,1
r13_f4,钾_相对_铅钡,K2O,PbO+BaO,-0.5648722978253035,0.5684327322188543,1
r13_f4,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,0.36746591922637917,1.4440705826482774,1
r14_f0,钾_相对_铅钡,K2O,PbO+BaO,-3.7973949427402465,0.02242912497139877,1
r14_f0,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-3.9744073966155944,0.01879043347040439,1
r14_f0,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-3.6331844412530456,0.026431879480677087,1
r14_f1,钾_相对_铅钡,K2O,PbO+BaO,-5.145217877964073,0.005827204606210614,1
r14_f1,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-5.859084696446694,0.002853854630876528,1
r14_f1,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-4.634046989049287,0.009715361473734642,1
r14_f2,钾_相对_铅钡,K2O,PbO+BaO,-4.630082764842039,0.009753951784655887,1
r14_f2,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-4.860085078199938,0.007749824521967958,1
r14_f2,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-4.181005188049022,0.015283137415991648,1
r14_f3,钾_相对_铅钡,K2O,PbO+BaO,-4.672332912417965,0.009350430327416899,1
r14_f3,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-4.947469121632996,0.007101358880465859,1
r14_f3,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-4.1692904215936775,0.015463228605060787,1
r14_f4,钾_相对_铅钡,K2O,PbO+BaO,-7.667979265797677,0.00046756168762674663,1
r14_f4,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-9.344968727163396,8.740406840207009e-05,1
r14_f4,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-7.2816270860764325,0.0006880651112415131,1
r15_f0,钾_相对_铅钡,K2O,PbO+BaO,-7.278431805290623,0.0006902671887252179,1
r15_f0,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-8.024903646106129,0.00032721155269673495,1
r15_f0,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-5.859490248896012,0.0028526974777999706,1
r15_f1,钾_相对_铅钡,K2O,PbO+BaO,-1.5273932413423756,0.21710085988172526,1
r15_f2,钾_相对_铅钡,K2O,PbO+BaO,-4.285493023278964,0.013766832478964352,1
r15_f2,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-4.600222176876792,0.010049602707235638,1
r15_f2,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-4.27085287823954,0.013969863478475038,1
r15_f3,钾_相对_铅钡,K2O,PbO+BaO,-1.0121691889369848,0.36342977606561244,1
r15_f3,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,0.5708166689351104,1.7697117300353942,1
r15_f4,钾_相对_铅钡,K2O,PbO+BaO,-6.042989773441126,0.0023744492255027855,1
r15_f4,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-6.382031979392738,0.001691681998868818,1
r15_f4,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-5.07513078136847,0.006250268967445793,1
r16_f0,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,3.158295534027403,23.530454869606338,1
r16_f0,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,1.6337869026245984,5.123239237736651,1
r16_f1,钾_相对_铅钡,K2O,PbO+BaO,-4.92815705608582,0.007239833601362749,1
r16_f1,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-5.558361502501345,0.0038550877772888163,1
r16_f1,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-4.7804450711459925,0.00839226298206059,1
r16_f2,钾_相对_铅钡,K2O,PbO+BaO,-4.886314518524644,0.007549193681893308,1
r16_f2,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-5.526354093180359,0.003980475107046988,1
r16_f2,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-4.86559907827408,0.0077072095863310545,1
r16_f3,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,2.2114214003567016,9.128682688538419,1
r16_f3,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,0.9550819594361716,2.5988835772236207,1
r16_f4,钾_相对_铅钡,K2O,PbO+BaO,-9.029147473735023,0.00011986463737712519,1
r16_f4,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-11.45621311759706,1.058351329065257e-05,1
r16_f4,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-9.958548668928119,4.732136519818971e-05,1
r17_f0,钾_相对_铅钡,K2O,PbO+BaO,-4.4174608768073975,0.012064827509107333,1
r17_f0,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-5.281369446765232,0.0050854617527766885,1
r17_f0,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-4.576149680032484,0.010294457040266016,1
r17_f1,钾_相对_铅钡,K2O,PbO+BaO,-0.6181476064512379,0.5389418459116275,1
r17_f1,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,0.4009847033213012,1.493294425880217,1
r17_f2,钾_相对_铅钡,K2O,PbO+BaO,-2.7429899961694066,0.06437757014778567,1
r17_f2,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-0.5333040256286837,0.5866634130161169,1
r17_f3,钾_相对_铅钡,K2O,PbO+BaO,-6.159010284980502,0.0021143448353759782,1
r17_f3,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-7.157575390335781,0.0007789408930917757,1
r17_f3,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-5.30701099931404,0.004956720237936095,1
r17_f4,钾_相对_铅钡,K2O,PbO+BaO,-1.4233546775935966,0.24090450288892584,1
r18_f0,钾_相对_铅钡,K2O,PbO+BaO,-5.5420328427693155,0.0039185529342064766,1
r18_f0,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-6.999546407167809,0.0009122956825003229,1
r18_f0,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-5.736566353563944,0.0032258256255900414,1
r18_f1,钾_相对_铅钡,K2O,PbO+BaO,-6.477411736447409,0.001537785727619539,1
r18_f1,铅钡_相对_硅铝,PbO+BaO,SiO2+Al2O3,-7.92931415223796,0.00036003325627540563,1
r18_f1,硅铝_相对_总助熔,SiO2+Al2O3,Na2O+K2O+CaO+MgO+PbO+BaO,-6.552506425220959,0.0014265356088654772,1
r18_f2,钾_相对_铅钡,K2O,PbO+BaO,-1.2794430170059525,0.2781922056370293,1
