repeat_id,outer_fold,model,config_json
6,4,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""none"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 1, ""min_samples_leaf"": 8, ""threshold"": 0.5}"
6,4,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": ""auto"", ""threshold"": 0.42000000000000004}"
7,0,Logistic,"{""C"": 100, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""threshold"": 0.5}"
7,0,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""none"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 2, ""min_samples_leaf"": 6, ""threshold"": 0.5}"
7,0,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": ""auto"", ""threshold"": 0.5}"
7,1,Logistic,"{""C"": 0.1, ""class_weight"": ""none"", ""features"": [""钾_相对_铅钡""], ""threshold"": 0.5}"
7,1,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 3, ""min_samples_leaf"": 3, ""threshold"": 0.5}"
7,1,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": 0.1, ""threshold"": 0.5}"
7,2,Logistic,"{""C"": 10, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""threshold"": 0.6900000000000002}"
7,2,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""none"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 2, ""min_samples_leaf"": 8, ""threshold"": 0.5}"
7,2,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": ""auto"", ""threshold"": 0.5}"
7,3,Logistic,"{""C"": 10, ""class_weight"": ""none"", ""features"": [""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""threshold"": 0.5}"
7,3,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 4, ""min_samples_leaf"": 3, ""threshold"": 0.5}"
7,3,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": 0.5, ""threshold"": 0.5}"
7,4,Logistic,"{""C"": 100, ""class_weight"": ""none"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""threshold"": 0.7300000000000002}"
7,4,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""none"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 2, ""min_samples_leaf"": 6, ""threshold"": 0.5}"
7,4,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": ""auto"", ""threshold"": 0.5}"
8,0,Logistic,"{""C"": 0.01, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝""], ""threshold"": 0.5}"
8,0,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""none"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 1, ""min_samples_leaf"": 8, ""threshold"": 0.5}"
8,0,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": ""auto"", ""threshold"": 0.33000000000000007}"
8,1,Logistic,"{""C"": 100, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""threshold"": 0.5}"
8,1,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""none"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 1, ""min_samples_leaf"": 6, ""threshold"": 0.5}"
8,1,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": 0.3, ""threshold"": 0.31000000000000005}"
8,2,Logistic,"{""C"": 10, ""class_weight"": ""none"", ""features"": [""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""threshold"": 0.44000000000000006}"
8,2,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""none"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 2, ""min_samples_leaf"": 4, ""threshold"": 0.5}"
8,2,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": 0.5, ""threshold"": 0.43000000000000005}"
8,3,Logistic,"{""C"": 1000, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""threshold"": 0.5}"
8,3,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""none"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 2, ""min_samples_leaf"": 6, ""threshold"": 0.5}"
8,3,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": ""auto"", ""threshold"": 0.5}"
